raw_text,cleaned_words
사자보이즈 서사가 부족하다고 느꼈음..,사자 보이즈 서사 부족하다
특별할거 있나? 생각 드는 동시에 노래 흥얼거리고 있음.,특별하다 동시 노래
흥행에는 이유가 있는듯 걍 재밌음 ㅇㅇ,흥행 이유 재밌다
제목이라는 진입장벽만 극복힌다면야,제목 진입 장벽 극복 힌다
"영화 안의 음악도 다르지 않았고, 루미와 그 주변 인물들의 감정을 잘 보여주는 역할이 되었다.",음악 다르다 루미 주변 인물 감정 역할
그냥저냥 스쳐지나가다 이런 애니도 있네 하고 넘어갔을법한 존재감의 영화 느낌이다.,애니 존재
할미는 재밌는지 모르겠다..,할미 재밌다
신난다 신나!!!ㅋㄱㅋㅎㅋㅎㅋㅎ,신나다 신나다
국뽕 의리로 틀어놓고 유튜브 함... ㅈㅅㅈㅅ,국뽕 의리 유튜브
솔직히 지루해서 잠들업업업잇츠아월모먼 거너비거너비골든 영원히깨질수없는,솔직하다 지루하다 업업업 월모 멀다 거너 비거 비골 영원하다
노래도 좋고 한국 곳곳의명소나 문화에 대한 고증도 좋았지만 스토리의 유치함이 내게는 너무 큰 벽이었다,노래 한국 곳곳 명소 문화 대한 고증 스토리 유치하다
약 1시간 30분 좋은 뮤직비디오,시간 뮤직비디오
메세지는 없지만 새로운 시대를 만들었다,메세지 새롭다 시대
꽤나 흥미롭다,흥미롭다
볼때만 해도 이렇게 회자될 줄 몰랐는데 어찌 이렇게 세상의 중심으로 잘도 흘러가는지.,볼때 해도 어찌 세상 중심
오호 재밌긴한데 유치하네 (노래를 흥얼거리며),재밌다 유치하다 노래
근데 이 정도로 유명해질줄은,정도 유명하다
"음악은 좋고, 내용, 영상은 무난했지만 오묘한 불쾌감이 느껴졌음. 특히 kpop이라면서 모든 노래가 영언데 가끔씩 한국어는 할당제로 끼워넣었을때 너무 억지로 한국임을 주장하려는 것 같아서 불쾌했음.",음악 내용 영상 무난 오묘하다 불쾌감 모든 노래 가끔 한국어 할당 제로 억지로 한국 주장 불쾌하다
한국적 멋을 살린것은 긍정적이다,한국 긍정
국정티비에서 채널조정시간마다 틀어줘도 된다고 생각합니다.,국정 티비 채널 정시
처음은 팝콘 영화 결국은 여성 서사 이야기. 내가 나로써 살아간다는것. 내 결점을 품고 산다는것,처음 팝콘 여성 서사 이야기 로써 결점 산다
사자보이즈 SO SEXY...,사자 보이즈
스타일로 모든걸 이끄는 느낌,스타일
조이야나너얘기하는거야널만난내삶너무행복한삶너무행복해너정말사랑스러워사랑해우리결혼하자이거보면답장주라나너평생기다려사랑해나라사랑조이사랑우리나라만세나만의국위선양조이나라만세우리나라너가져도좋아내삶너가가져도좋아날가져줘요엉엉,조이 얘기 행복하다 행복하다 사랑스럽다 사랑 결혼 장주 라나 평생 사랑 해나 사랑 조이사 우리나라 만세 국위 선양 이나라 만세 우리나라 삶너 엉엉
오 재밌는데? 끝나자마자: 이게왜재밌지,재밌다 게왜 재밌다
루미의 보컬 차력쇼 잘 보았읍니다,루미 보컬 차력 읍니
노래도 좋고 케이팝에 팝스러움 한 두 방울 추가해서 아주 잘 뽑았네 안무도 나무랄 때 없어보임,노래 스럽다 방울 추가 아주 안무 보임
사자보이즈 개패고 싶은 생각만 들었다,사자 보이즈 개패
K-POP으로도 겨울왕국을 만들어 낼 수 있다는 게 놀라웠던 작품,겨울왕국 놀랍다
"이 정도로 괜찮을 줄, 아니 좋을 줄 몰랐어",정도 괜찮다
초등학생들이 좋아하는 그 느낌,초등학생 좋아하다
우습구 유치해. 그 맛에 보는 거야.,유치하다
흥미로운 스토리를 OST들과 한국식 문화들로만 때운 느낌.,흥미롭다 스토리 한국 문화 로만
그 당시 무관심 속에 동방에 작은 나라였던 대한민국이 지금은 전 세계가 아라주는 나라가 됐습니다 부디 노여움을 푸시길,당시 무관심 동방 작다 대한민국 지금 세계 나라 부디 노여움
그 명성에도 불구하고 한국적 정서로는 제법 평범한 전개가 아니던가?,명성 불구 한국 정서 제법 평범하다 전개
진짜 만든다 했을때 우려했던 모든 것을 시원하게 부숴버리다 못해 개무시당했는데 기분이 위 고잉 업업업,우려 모든 시원하다 부숴 개무시 당하다 기분 고잉 업업업
의외로 골든보다 소다팝이 귀에 더 맴도는..,맴도
우리나라같은 느낌을 잘 표현했다,우리나라 표현
영원히 깨질 수 없는~~~~~~~~~~~~~,영원하다
Ost 4점 각본 2점 연출 3점 총 3점,각본 연출
기대안했다. 그래서 더 좋았다. 영양소는 없지만 배는 부르게 해준 음식,대안 영양소 음식
처음엔 별론데 보다보면 중독됨,처음 론데 중독
"스토리는 유치하다고 할수있고 단순할수도 있지만 상업영화의 최대성공을 보여준, 사회현상.",스토리 유치하다 단순하다 상업 최대 성공 사회 현상
우리가 가장 우리다울 때 세상을 금빛으로 물들일 수 있음을 증명한 웰메이드 애니메이션,우리 가장 우리 세상 금빛 증명 메이드 애니메이션
유명해서 의무감으로 봤습니다.,유명하다 의무감
엄 내용은 좀 그러지만 재밌다..,내용 재밌다
노래는 종말 좋다 스토리도 그럭저럭 정석대로 흐르네,노래 종말 스토리 정석
"날 제대로 드러내는 일, 그것이 예술이다.",제대로 그것 예술
영화보단 노래의 파워가 절절히 느껴지는 강렬한 콘서트.,노래 파워 절절 강렬하다 콘서트
아이들 용이라고 생각하면 다 이해된다.,아이 용이 이해
뇌빼고 보기 좋다. 한동안 노래 흥얼거림,보기 노래
케이팝과 한국이란 매력있는 요소로 이런 작품을 만들다니,한국 매력 요소
넷플릭스 공개로 큰 인기를 끈 건 사실이지만 작품 퀄리티가 워낙 괜찮아서 초장에 영화관 개봉을 했다면 꽤나 충격적으로 다가왔을 것 같음,넷플릭스 공개 인기 사실 퀄리티 워낙 괜찮다 초장 영화관 개봉 충격
숏츠같이 시원시원한 전개가 마음에 든다.,숏츠 시원시원하다 전개 마음
한국의 문화 성장이 눈에 보인다,한국 문화 성장
"상처도 결점도, 결국 나라는 작품의 디테일.",상처 결점 나라 디테일
근데 사람들 반응 때문에 영화의 품격이 낮아지는 기분이 들었다.,사람 반응 때문 품격 기분
솔직히 노래를 너무 잘만들엇음,솔직하다 노래 잘만 엇음
옛 디즈니의 향수를 일으키는 수작,디즈니 향수 수작
한국적 요소를 찾는 맛이있고 노래가 시원하다.,한국 요소 노래 시원하다
재밌네ㅋㅋㅋ 2도 나와라!!,재밌다 나와라
플롯은 흔하지만 감독이 좋아하는 곡 넣고 맛있게 만들면 그걸로 된거야.,플롯 흔하다 좋아하다 맛있다 된거
세계 사람들이 한국 문화를 얼마나 좋아하는지 가늠할 수 있는 파라메터인 것 같다. 막 똥 방귀 오줌 등만 외쳐도 자지러지는 아이들같이 케이문화 두서없이 나열해도 그냥 좋아하네.,세계 사람 한국 문화 얼마나 좋아하다 가늠 파라 메터 방귀 오줌 아이 케이 문화 두서 나열하다 좋아하다
도리를 다한 K-Culture 견문록,도리 다한 견문
내가 되는 게 언제나 제일 어렵지. 사실 뻔하디 뻔한 스토리인데 그럼에도 불구하고 케데헌 케데헌을 연호하게 되는 이유는.. 자기 긍정의 서사는 실패하는 법이 없기 때문이다.,제일 어렵다 사실 뻔하다 뻔하다 스토리 불구 연호 이유 자기 긍정 서사 실패하다 때문
"치밀함과 완벽함, 그리고 엉성함의 조화",치밀하다 완벽하다 성함 조화
좋은 영화인데 내스탈은 아님,스탈
"단 하나의 무기, 하지만 너무 강력한.",하나 무기 강력하다
그런게 넷플릭스 애니메이션이지 뭐.,넷플릭스 애니메이션
일단 노래가 너무 사기다. 다음 곡은 어떤 것이 나올지 기대하면서 끝까지 보게 된다.,일단 노래 사기 다음 기대하다
"초반부에 쌓아올리는 갈등과 서사가 후반부에 허무하게 흩어져 버려서 아쉽기 짝이 없다. 디테일한 한국적 요소들, 세련된 디자인들이 스토리 때문에 빛을 다소 잃는 것 같아 아쉬웠다. 특히 작품에서 전하고자 하는 주요한 메세지는 “흠집도 나의 일부고 있는 그대로 당당해지자”라는 건데 이 부분이 어떻게 해결된건지 알 수가 없다. 진우는 왜 갑자기 막판에 @@한건지도 납득이 안 간다. 두 사람의 과거와 내적 갈등, 그리고 두 사람이 빚는 외적 갈등도 탄탄하게 전개되다가 갑자기 해소된다. 목소리 안 나오는 것도 어떻게 해결된건가 싶고..",초반 갈등 서사 후반 허무하다 아쉽다 디테일 한국 요소 세련되다 디자인 스토리 때문 다소 아쉽다 전하 고자 주요한 메세지 흠집 일부 그대로 당당하다 부분 해결 수가 진우 갑자기 막판 지도 납득 간다 사람 과거 내적 갈등 사람 외적 갈등 탄탄하다 전개 갑자기 해소 목소리 해결 건가
OTT가 아닌 영화관에서 처음 봤는데 생각보다 흥이 차고 재밌어서 0.5점 더 줬다😂😂,영화관 처음 흥이 차고 재밌다
전혀 예상 못한 조합인데 맛있다.,전혀 예상 조합 맛있다
문화로 양세를 뒤흔든 K-POP의 에너지.,문화 에너지
"끝내주는 음악과 영상미,개성 있는 캐릭터 덕을 좀 많이 본 작품",끝내주다 음악 상미 개성 캐릭터
우리 모두 모난 부분이 한 군데씩은 있다. 감추지말고 그게 나임을 받아들이자,우리 모두 부분 군데 그게 나임
"처음엔 ""이게 뭐야""지만 마지막엔 ""재밌었다!""",처음 마지막 재밌다
이젠 스토리보다 디테일이 중요하다는 교훈.,스토리 디테 일이 중요하다 교훈
K팝이니 뭐니 하는데 난 그것보단 캐릭터와 OST와 스토리에서 느껴지는 긍정적인 에너지가 좋았다,그것 캐릭터 스토리 긍정 에너지
"빠른 전개와 명확한 주제, 무엇보다 중독성 있는 음악과 더불어 한국 문화를 자연스럽게 녹아내어 보는 이로 하여금 가볍게 즐길 수 있도록 접근한 점이 오랜 시간 사랑을 받는 이유라 생각된다.",빠르다 전개 명확하다 주제 무엇 중독 음악 한국 문화 자연 이로 가볍다 접근 시간 사랑 이유
조이야 나도 미스테리 얼굴 보고싶다..,조이 미스테리 얼굴
스토리는 뻔한데 노래가 살렸음,스토리 뻔하다 노래
이 세~~~상을~~~ 고치~~리라~~~~...,고치 리라
마이너리티를 음과 양의 조화로 풀어낸다.,마이 너리 조화로
괜찮은 오락영화인데 개인적으로 심금을 울렸다까진 아니네,괜찮다 오락 개인 심금
진짜?? 이걸 보고 우는 사람이 있다고???,보고 사람
소통과 공감에 대한 간결하고 명확한 이야기.,소통 공감 대한 간결하다 명확하다 이야기
기대보다재밌었다 한국적인소재나비주얼이좋았고특히음악이굿 며칠째귀에맴도는중 중간중간사운드트랙도좋았다,기대 재밌다 국적 소재 나비 주얼 음악 며칠 맴도 중간 중간 사운드트랙
한국 구석구석을 홍보해주는 초히트 애니메이션이 나온다는게 고마울뿐...,한국 구석구석 홍보 히트 애니메이션 고마
싱얼롱으로 극장 개봉을 했지민 대다수가 조용히 보는걸 보면 이 기획은 실패다. 차라리 싱얼롱과 일반 버전을 나눠서 상영했으면 모두에게 좋았을거란 아쉬움이 있다.,싱얼롱 극장 개봉 지민 대다수 조용하다 기획 실패 차라리 싱얼롱 일반 버전 상영 모두 아쉬움
가가선배님 본디스웨이 다들 100번씩 듣고와라,가가 선배 디스 웨이
극장에서 보고 자리에서 못 일어났다.,극장 보고 자리
이 영화 시작 5분 후 : 헌트릭스! 날 가져요!!,시작 트릭
노래 퀄리티 측면에서 5점을 주겠다... (이미 객관성을 잃었음),노래 퀄리티 측면 객관성
20년후가 더 기대되는 영화,년후 기대
퀄리티 미쳤고 노래도 좋은데 재미까지 있어서 놀람,퀄리티 미치다 노래 재미 놀람
루미의 “GOlDEN”처럼 빛나고 행복하길.,루미 처럼 행복하다
더 재밌을 수 있었는데…!!!,재밌다
다른 곡은 몰라도.. 골든마저... 아니. 저기요.. 왜?...,다른 저기
"각 등장인물들의 떡밥이 굉장히 많아서 후속편이나 프리퀄 만들기에도 굉장히 적합하다. 이번 헌트릭스 이야기도 재밌었지만 루미, 진우의 과거 혹은 헌트릭스의 결합 계기 등등 할 이야기는 굉장히 많아서 이번 흥행을 기점으로 케데헌 IP를 활용한 스토리가 계속 진행 될 것 같다.",등장인물 떡밥 굉장하다 후속 편이 프리퀄 만들기 굉장하다 적합하다 이번 트릭 이야기 재밌다 루미 진우 과거 트릭 결합 계기 등등 이야기 굉장하다 이번 흥행 기점 활용 스토리 계속 진행
"정확하고, 유효한 영화. 극장에서 보니 더 좋더라.",정확하다 유효하다 극장
스토리 3 퍼포먼스 4.5,스토리 퍼포먼스
사운드가 좋아서 폰이나 TV로 봤다면 마니 아쉬움이 남을뻔 했다,사운드 아쉬움
"참신한 소재와 스타일을 먹기 쉬운 설정으로 요리했고, 심지어 맛있었지만, 그럼에도 결국 그 진부함이 목에 걸린다.",참신하다 소재 스타일 먹기 쉽다 설정 요리 심지어 맛있다 진부하다
화려한 안무 시시한 구마,화려하다 안무 시시하다 구마
한국 고증도 많이 되어있어서 찾아보는 재미가 있는데 사자보이즈 딱히 안잘생겼음. 그리고 그만 우려먹었으면 좋겠어서 4점드림,한국 고증 재미 사자 보이즈 딱하다 잘생기다 우려 드림
"정체성을 받아들이는 서사는 진부하지만서도 참 좋은데, ‘진짜 너를 숨기고 일단 나중에 상황을 보자’며 배척받는 정체성을 계속 감추라고만 하는 샐린을 보고 있자니 정말 한국식 서사 같았다. 다양성 측면에서 여러 정체성으로 해석할 여지도 풍부하고, 감동과 함께 다가오는 좋은 노래들도 한몫 단단히 한다.",정체 서사 진부 숨기 일단 나중 상황 배척 정체 계속 보고 한국 서사 다양성 측면 여러 정체 해석 여지 풍부하다 감동 노래 한몫 단단하다
디즈니 애니메이션의 태생적 한계를 뚫어낸 단 한번의 필살기. 한 미 일 문화의 콜라보,디즈니 애니메이션 태생 한계 한번 필살기 밉다 문화 콜라보
"빠른 전개, 귀에 쏙쏙 박히는 음악들, 설명되지 않은 개연성은 후속편을 위한 안배인가?",빠르다 전개 쏙쏙 음악 설명 개연 성은 속편 안배
내 또래 걸그룹이면 소녀시대인데 그들이 왜 계속 함께 활동하는 지 대충 알게 되었다.,또래 걸그룹 이면 소녀시대 계속 활동 대충
"화려한 기술과 K POP의 시너지가 만나, 눈과 귀 모두 사로잡는 황홀한 콘서트로",화려하다 기술 시너지 모두 황홀하다 콘서트
글고 소다팝이랑 골든이랑 테이크 다운 노래 너무 좋아옇,테이크 다운 노래 좋아옇
"노래를 위해서 소비된 한국, 노래를 위해서 만들어진 영화.",노래 위해 소비 한국 노래 위해
시도를 칭찬하고 싶고 일단 노래가 남는다,시도 칭찬 일단 노래
K-POP이라는 문화를 사랑하는 모든 이들에게 보내는 선물 같은 애니메이션,문화 사랑 모든 선물 애니메이션
Kpop에 대한 헌사,대한
5년이 지나도 10년이 지나도 100년이 지나도 우리가 좋아하는건 별로 달라지지 않는거 같다,우리 좋아하다 별로
"뒤늦게 유행해 탑승했는데, 설명할 수 없는 이유가 있는게 아니라 그냥 재밌다. 노래도 굿굿",뒤늦다 유행 탑승 설명 이유 재밌다 노래 굿굿
지금 그 노래나오나? 지금인가? 지금인가?,지금 노랗다 지금 지금
강메기씨는 키치함이 뭔지 안다,메기 키치
훌륭하게 잘 만들어진 액션 코미디 뮤지컬 애니메이션...인데 디즈니가 아니라고?!,훌륭하다 액션 코미디 뮤지컬 애니메이션 디즈니
한국적인 요소가 많이 들어갔다는 것에 좋으면서 씁쓸하다,한국 요소 씁쓸하다
"정말 공교로운 공개시기와 역대급 흥행, 광화문을 연상시키는 한옥 조형물 아래의 응원봉 물결이.",공교 공개 시기 역대 흥행 광화문 연상 조형 아래 응원봉 물결
귀엽고 유치하지만 여운이 있는,귀엽다 유치하다 여운
"근데 이 캐릭터들의 감정선을 못 따라가겠음,,ㅎ",캐릭터 정선
2025를 살아가는 코리안 여성으로써 이건 100점만점에 5000점 줘야할듯,코리안 여성 이건 만점 야하다
"웰메이드 국가문화홍보 시청각 자료로 국한되지 않는, 시대에 걸맞는 신선한 시도.",메이드 국가 문화 홍보 시청각 자료 국한 시대 신선하다 시도
"본인의 결점과 두려움을 더이상 피하지않고, 직시하고 맞서야만 진정한 자아를 찾을 수 있다는 간결한 메시지를.... K-POP에 담았다! 외국계 손에서 창작된 한국적인 아름다움....",본인 결점 두려움 이상 피하 직시 진정하다 자아 간결하다 메시지 외국 창작 한국 아름답다
액션과 수록곡으로는 타파할 수 없는 결함에 걸려 아쉽다,액션 수록 타파 결함 아쉽다
"유행따라 봤는데, 신선했지만 내 취향은 아님",유행 신선하다 취향
기차 옆자리에 앉은 이름 모를 아이와 함께 본 영화. 처음에는 아이를 위해 튼 영화인데 나도 모르게 빠져들었다. 감동 포인트엔 역시나 난 어김없이 눈물을.,기차 이름 아이 처음 아이 위해 감동 포인트 역시 눈물
다른거보다 노래가 너무 좋다,노래
이 영화와 이 노래를 그렇게 사랑해준다니  전세계 넷플 회원들 정말 고맙다.,노래 사랑 전세계 넷플 회원 고맙다
"플롯은 뻔하지만, 잘뽑은 노래, 좋은 비쥬얼, 재밌는 유머, 신선한 소재. 영화의 유흥적인 측면에서 만점인 작품!",플롯 뻔하다 노래 비쥬 재밌다 유머 신선하다 소재 유흥 측면 만점
루미엄빠랑 조이스터리 더 보고 싶당,루미 엄빠 이스터 보고
"인기의 비결, 너무나 알 것만 같다 똑바르고 화창하다",인기 비결 똑바르다 화창하다
노래를 만들고 난 후 노래에 맞게 스토리를 짠 영화.,노래 노래 스토리
생략된 부분이 많아서 그런가 이해 안 되는 부분도 좀 있었는데 애니메이션을 주로 접하는 대상이 아이라고 생각하면 깊어야 할 이유도 없지,생략 부분 런가 이해 부분 애니메이션 주로 대상 아이 깊다 이유
이렇게까지 유행할 정도인가 싶음,유행 정도
다른 게 뭐가 중요하겠어 골든 들으면서 눈물이 나는데,다른 중요하다 눈물
누군가를 미워하는 이유가 나를 미워하는 이유,누군가 미워하다 이유 미워하다 이유
노래로 악마잡는 영화에 개연성 운운하는게 웃기지만 그래도 아쉬운 스토리.,노래 악마 개연 웃기 아쉽다 스토리
완전 병맛 설정으로 틀어서 더 몰입감이 좋았다. 병맛 느낌을 없애려고 노력한 게 조금이라도 보였으면 오히려 <케이팝 데몬 헌터즈>만의 매력이 없어져서 흥행을 놓쳤을 수도,완전 병맛 설정 몰입 병맛 노력 조금 오히려 데몬 헌터 매력 흥행 수도
내가 아는 진우중에 최고...,진우 최고
우리나라도 이런 애니메이션 만들수 있는,우리나라 애니메이션
솔직히 이게 왜 흥행하는건가요?,솔직하다 흥행 가요
케이팝에는 브릿지가 있어야합니다,브릿지 야하다
요즘 애니 끝까지 보기 힘들어하는데 이건 앉은자리에가서 끝까지 봤음 유얼마이소다팝 마이리를소다팝✋✋,요즘 애니 보기 힘들다 이건 앉은자리 얼마 마이
우리 것이 좋은 것이여,우리
역시 내 취향은 아닌걸로.,역시 취향
근데 대부분의 본토 한식을 이기는 맛.,대부분 본토 한식
"사랑과 존중, 믿음과 연대, 화합과 함성 렛츠 고.",사랑 존중 믿음 연대 화합 함성 렛츠
"사랑을 해본 사람이 사랑을 나눠줄 수 있듯이, 스스로를 존중할 수 있는 사람이 비로소 이 어두운 세상을 밝힐 수 있는 법이다.",사랑 사람 사랑 스스로 존중 사람 비로소 두운 세상
13세 이상이 재미를 느낀다면 그건 경계선 지능장애다,이상 재미 경계 지능 장애
ㅁ시즌2가 꼭 나와야할듯 루미는 주인공 아니였으면,시즌 야하다 루미 주인공
호랑이 까치 귀엽다.,호랑이 까치 귀엽다
좋은 노래와 외국인에게 생소한 플롯이 잘 먹힌 듯하다,노래 외국인 생소하다 플롯
스파이더맨부터 실력을 보인 소니 애니메이션은 점점 발전해나간다,스파이더맨 실력 소니 애니메이션 점점 발전 해나 간다
루미언니 그 새끼 만나지마요,루미 새끼
이 영화는 해외의 시선에서 풀이한 한국의 문화집합체다.,해외 시선 풀이 한국 문화 집합 체다
아이돌의 허상에 대한 극대화. 이는 어쩌면 블랙코미디일지도 모르겠다,아이돌 허상 대한 대화 어쩌면 블랙코미디 일지
골든으로 시작해서 골든으로 끝났다. 한국 이미지 너무 잘 보여줘서 마음에 들었다. 얘들아 행복만 해라...,시작 한국 이미지 마음 행복
흥의 민족은 노래로 혼문을 닫지,민족 노래 혼문
이렇게까지 다 해주는데 기와 복원 그까짓 거조차 안 하고 있는 헬조선은 도대체,기와 복원 그까짓 헬조선 도대체
소니가 이걸로 큰 이득을 보지 못했다고 하던데 그 이유를 알 것도 같고 말이야. 이렇게까지 뜰지 누가 알았겠어,소니 이득 보지 이유 누가
소소한 센스들과 트렌디한 음악의 재치있는 콜라보,소소하다 센스 트렌디 음악 재치 콜라보
"압도적인 도입부, 8분짜리 영상이어도 같은 평점일것",압도 도입 영상 이어도
왜 이렇게 애매하지 싶은 영화,애매하다
"+: 놀랍도록 훌륭한 OST, 개성적이고 매력적인 등장인물, 좋은 연출과 작화, 앞으로의 K-POP을 이끌 기념비적 작품.",훌륭하다 개성 매력 등장인물 연출 작화 기념비
김밥 컵라면 찜질방 한의원 드가자,김밥 컵라면 찜질방 한의원 드가자
유행이라 봤는데 생각보다 노래 퀄리티가 정말 정말 좋았다...의상도 아름답다.,유행 노래 퀄리티 의상 아름답다
그렇지만 노래는 매우 훌륭.,노래 매우 훌륭
재밋엇음 원래 안보려고햇는데 이상하게 다봄,재밋엇음 원래 이상하다
"음악과 캐릭터를 살리기 위한 구색의 스토리, 애니적이다.",음악 캐릭터 구색 스토리 애니
개쩌는 오프닝 미친 OST 맘에 드는 결말,개쩌 오프닝 미치다 결말
"남에게 이야기할 때 조금 부끄럽지만, 설명을 멈출 수 없는 영화셔요",이야기 조금 부끄럽다 설명 영화셔
나머지는 너무 무난이라 아쉬움. 서사가 궁금. 메세지가 더 잘 드러났으면 했는데 아쉽지만 윌 고잉 업업,나머지 무난 아쉬움 서사 궁금 메세지 아쉽다 고잉 업업
노래가 좋았음,노래
"자신을 사랑하고 아끼는 마음이, 가사에 담겨 고스란히 전해진다.",자신 사랑 마음 가사 고스
"7년동안 지칠법도 했을테고 많은 상황속에 있었을텐데 끝까지 포기하지 않고, 그 어떤것도 놓치지 않고, 허투로 하지 않았음이 느껴진다. 한국에 뿌리를 둔 제작진들의 애정과 애환, 벗어날 수 없는 사랑의 헌사.",동안 법도 상황 포기 한국 뿌리 애정 애환 사랑
귀만큼은 확실히 테이크다운 당했다,확실하다 테이크다운 당하다
아이돌 하면서 연애는 안 들키게 하거라.,아이돌 연애
그리고 노래에 한동안 빠질 줄이야,노래
엄청난 스케일로 꾸며진 무대,엄청나다 스케일 무대
"제목의 장벽이 너무 높아서 계속 미루고 미루다가 드디어 봤다. 초반에는 ‘역시 애기들을 노리고 만든건가? 한시간 반동안 뮤비처럼 흘러가나?’ 싶게 정신없기만 했는데, 보다보니까 몰입해서 클라이막스 때는 너무 감동 받아버렸다..!",제목 장벽 높다 계속 초반 역시 애기 노리 건가 시간 동안 뮤비 정신 몰입 막스 감동
시기와 컨텐츠의 시너지. 더 이상 한국 타이밍과 관련없어도 되는 컨텐츠. 글로벌 이슈가 한국에 들어오는 속도가 빨라졌지만 반대로 한국의 컨텐츠가 해외로 나가는 건...,시기 컨텐츠 시너지 이상 한국 타이밍 관련 컨텐츠 글로벌 이슈 한국 속도 빨르다 반대 한국 컨텐츠 해외
해외에서 표현하는 한국. 해외의 시각으로 한국의 어떤점이 매력으로 느껴지는지 알 수 있다.,해외 표현 한국 해외 시각 한국 매력
별거 없더만 왜그렇게 인기가 많지?,별거 인기
흔한 미국 애니메이션에 제대로 K를 입혀보니.,흔하다 미국 애니메이션 제대로
우리나라 어린이들이 엘사 드레스 입듯이 케데헌 일러스트로 도배된 옷을 입은 외국 어린이들을 보고,우리나라 어린이 엘사 드레스 일러스트 도배 외국 어린이 보고
노래가 참 좋긴한듯!!!! 후반에 벅차오르긴 하는데 그전까지 내용은 그냥 그럼ㅋㅋ,노래 후반 벅차오르다 내용
전개 개빠른 거에 비해선(후반은 또 느린 거 같기도) 괜찮은데 그래도 서사 넘 부족함 이걸 보고 한국에 대한 흥미가 생기나? 신기하네,전개 빠르다 후반 느리다 괜찮다 서사 부족함 보고 한국 대한 흥미 생기 신기하다
이 노래들을 극장에서 못듣다니....,노래 극장
조금은 거부감 드는 작품 내의 호들갑,조금 거부 내의 호들갑
세상에 힘껏 외쳐내는 이런 작품들은 응원할 수밖에 없다.,세상 힘껏 응원
한때 케이팝에 몸담았던 사람으로서 마지막에 눈물 흘렸다 진짜,사람 마지막 눈물
미국 부모들이 케데헌 왜 좋아하는지 알겠다. 사랑스럽고 정의롭고 건강한 스토리! 그와중에 노래 너무 좋고 ㅋ,미국 부모 좋아하다 사랑스럽다 정의 건강하다 스토리 와중 노래
헌트리스 언니들 먹방도 해주세요,트리스 언니 먹방
사람은 존재의 이유가 있고 영화는 흥행의 이유가 있다.,사람 존재 이유 흥행 이유
아 재밌어 ㅋㅋㅋ,재밌다
뭔데 재밌지.. 참신한 소재와 교과서적인 스토리,재밌다 참신하다 소재 교과서 스토리
한국의 색을 잘 표현했다고 본다.,한국 표현
"나 어릴 적, 영구와 땡칠이가 좋았던 그런 느낌일까",영구 칠이
음악 하나만보고 높은 점수를 주기엔 힘든 작품,음악 하나 보고 높다 점수 주기 힘드다
"선입견이 많지만, 한번 보면 왜 인기 많은지 이해가 되는 영화.",선입견 한번 인기 이해
생각보다 애니적 허용이 너무 많아서 웃겼음..,애니 허용
노래 이젠 너무 들어서 돌아버릴 것 같음,노래
노래로 공명되는 한미일 동맹?,노래 공명 한미 동맹
이거시 한국의 케이팝 입니까?,한국
미루고 미뤘는데 기대 이상으로 재밌고 무난함,기대 이상 재밌다 무난
나다운 한국다운,한국 다운
진우 루미 안사귀어서 다행이다,진우 루미 다행
나 어릴땐 디즈니 테이프로 영어공부 했는데 요즘 애들은 케데헌으로 할 듯,디즈니 테이프 영어 공부 요즘
"솔직히 취향은 아니지만, 한국을 빛나게 해줬으니까..",솔직하다 취향 한국
그 장르에서 해야 할 일은 잘 해오는 게 최고의 영화야,장르 최고
"지나치게 콤팩트 해서 놓치는 이야기의 깊이는 아쉬웠다. (미라와 진우 사이의 전개 및 심경변화, 비중 없는 이모나 부모님, 다른 멤버들에 대한 얕은 관심 등)",콤팩트 이야기 깊이 아쉽다 미라 진우 사이 전개 심경 변화 비중 이모 부모님 다른 멤버 대한 얕다 관심
"남은 것은 김밥, 라면, 사우나… 그리고 골든.",김밥 라면 사우나
서로의 상처 좀 이해해주라 한국인들아,서로 상처 이해 한국인
"아들이 몇 번이나 보고 춤추고 노래 틀어달라도 하다가 다시 넷플릭스를 켜고 한 번 더 보길래 잠깐 봤는데, 어느 순간 몰입해서 보고 있는 나 자신을 발견했다. 애니메이션을 좋아하지도 않고 제목부터 케이팝 머시기라니. 그냥 흔한 애니메이션이겠지 무시했었던 나에게 문화 사대주의가 있지 않았냐 하고 되묻는다. 유튜브에서 케이팝이니 한류니 하는 것들을 접하면 으레 가지는 선입견은 가볍다 소모적이고 일회성이다였는데, 이 애니메이션은 이제껏 보아왔던 디즈니와는 차원이 다른 센스를 가지고 있는 작품이다. 애니메이션을 보고 이렇게까지 집중했던 적이 있었나? 지나가다 잠깐 본 작품에 계속 멍 때리며 감상한 게 언제였나 기억이 나질 않는다.",아들 보고 노래 달라 다시 넷플릭스 잠깐 순간 몰입 보고 자신 발견 애니메이션 좋아하다 제목 시기 흔하다 애니메이션 무시 문화 사대주의 유튜브 한류 으레 선입견 가볍다 소모 애니메이션 이제껏 보아 디즈니 차원 다른 센스 가지 애니메이션 보고 집중 잠깐 계속 감상 언제 기억
노래하는 영화면 역시 노래가 좋아야지,노래 역시 노래
생각없이 보기 좋은 소다팝 같은 영화,보기
첫날보고 오타쿠에게 먹히겠군 생각함 그리고 이루어짐,첫날 보고 오타쿠
